region,ssf_v_portions,ssf_v_total_employment,ssf_v_women_employment,ssf_v_livelihood,ssf_v_total_catch
Americas,0.35387592324040207,0.8189280649001143,0.8276672811327288,0.8821189749311241,0.31933476483047196
Asia,0.468851161754625,0.9071288514165973,0.9171645587828225,0.9639528732454461,0.46910663113943074
Africa,0.719718816428842,0.9153570406388096,0.9040242719683304,0.9541031632604227,0.6616736245769461
Europe,0.19567211047388428,0.5174557677954854,0.5145352819472714,0.5429568332783898,0.09098309653793589
Oceania,0.7353745175497267,0.9102658033047458,0.8791498922441419,0.9767973464172768,0.30560899485705606
