region,ssf_catch,ssf_catch_marine,ssf_catch_inland,p_marine,n
Africa,6.171531728,3.143101343,3.028430386,0.4703116264844626,54
Americas,5.578647094999999,5.017452818,0.5611942779999999,0.5480819244061632,38
Asia,23.441276231,15.685351400000007,7.755924830999999,0.5588023814358047,48
Europe,1.275291076,0.86114008,0.41415095,0.3835368875673219,39
Oceania,0.4132510840000001,0.39269348400000004,0.0205576,0.5361166901265231,17
