region,regional_portions,regional_portions_marine,regional_portions_inland,n
Africa,44.92116535510915,13.630213424758425,31.290951930350722,25
Americas,26.747172852728013,24.538997911811748,2.208174940916263,11
Asia,151.35850907712597,130.26104369582512,21.097465381300896,12
Europe,1.88802921650529,1.88802921650529,0,3
Oceania,0.6613469392013072,0.6613469392013072,0,7
