anon_country_name,basic_region,portions,employment,women_employment,livelihood,catch
country_name_146,Africa,0.2563560839882372,0.8219890353723486,0.8325387653585986,0.8979561786747744,0.3318653880131952
country_name_130,Africa,0.7484943527982102,0.9215544050377747,0.8886840675157248,0.9724340097246954,1
country_name_152,Africa,1,0.9217219679511456,0.9117029927988672,0.9555201013540066,1
country_name_093,Africa,0.7005771627879187,1,1,1,1
country_name_129,Africa,1,0.8614956823848918,0.8687378706743162,0.9232066887220032,1
country_name_160,Africa,0.8388109842929289,1,1,1,1
country_name_039,Africa,1,0.8892303656855667,0.8008857092090066,0.9497735952196004,1
country_name_127,Africa,0.3782238233841944,0.9241361134364198,0.9031867026704522,0.9579665598795778,0.4219874758601551
country_name_102,Africa,1,0.9994943520957684,0.999268855987996,0.999754902152264,1
country_name_227,Africa,0.8468368851929038,0.9237764860175964,0.9037260290266776,0.9654562410311872,0.6851823381208967
country_name_035,Africa,0.15752771517890676,1,1,1,0.26249307840103553
country_name_137,Africa,0.04232946426339228,0.8420890677923606,0.8373915783036865,0.8927857252089387,0.07651218403333783
country_name_242,Africa,1,0.8606703137665996,0.8488000414201667,0.914388356311737,1
country_name_209,Africa,0.3832462518635585,0.8075334665377762,0.7634923990659116,0.8808227745937274,0.9053361752195402
country_name_095,Africa,0.8260675665219366,0.6218830818382465,0.3322075173744676,0.7035282691604678,0.7869921346675962
country_name_004,Africa,1,1,1,1,1
country_name_077,Africa,1,0.9881981152897956,0.9857939251641032,0.9947097213327808,1
country_name_091,Africa,0.7057946476008182,0.886194203462526,0.8718625520509191,0.9365025299373024,0.757200266759733
country_name_010,Africa,0.8529808877914344,0.908991782978713,0.8530700045135793,0.9359338752116558,0.8754671093719576
country_name_047,Africa,1,0.9501680224726646,0.9292142835231252,0.9765354510264984,0.7387337650284954
country_name_197,Africa,1,0.9455380779489116,0.9459324464869784,0.9687778326501796,0.8899538730795331
country_name_073,Africa,0.34047276623703565,0.849418740947148,0.78784285711293,0.9110419432775396,1
country_name_101,Africa,0.9668856269668976,0.8908299127849497,0.8928168267236642,0.9419980069722056,1
country_name_154,Africa,1,0.9062850327720524,0.90613780767061,0.9425964299297862,0.9989653527828886
