region,ssf_v_portions,ssf_v_total_employment,ssf_v_women_employment,ssf_v_livelihood,ssf_v_total_catch
Americas,0.24881060904450936,0.8189280649001142,0.8276672811327288,0.8821189749311241,0.3205452699549806
Asia,0.47435382693133404,0.9071288514165973,0.9171645587828225,0.9639528732454461,0.4704208782137522
Africa,0.7486839614106833,0.9153570406388098,0.9040242719683304,0.9541031632604227,0.6683786278753279
Europe,0.08560594650928582,0.5174557677954854,0.5145352819472714,0.5429568332783898,0.09053855080316385
Oceania,0.5737567299899844,0.9102658033047458,0.8791498922441419,0.9767973464172768,0.3597793246991566
